brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,price_dollar,harddisk_gb,harddisk_imputed,cpu_family,ram_gb,graphics_type,cpu_weights,graphics_type_encoded,graphics_encoded,brand_encoded,performance_score,vfm_score
Samsung,Samsung Chromebook 11.6,11.6,Black,32 GB,Intel Atom,4 GB,Chrome OS,,Integrated,integrated_graphics,,4.3,$298.00 ,298.0,0.0,False,Atom,0.043478260869565216,Integrated,0.2,0,0.0,2,0.09086956521739131,7.974516735631873
Dell,Latitude 7440 2-in-1,14.0,Black,512 GB,Core i7,16 GB,Windows 11,,Integrated,Intel Integrated Graphics,,,"$1,577.98 ",1577.98,0.4838709677419355,False,Core i7,0.30434782608695654,Integrated,0.9,0,0.0,7,0.48447405329593274,8.029180405377009
Dell,G7500-7194BLK-PUS,15.6,Black,,Corei7-10750H,16 GB,Windows 10,Rgb Backlit Keyboard,Integrated,NVIDIA GeForce RTX 2070,,4.4,"$2,499.00 ",2499.0,0.4838709677419355,True,Unknown,0.30434782608695654,Integrated,0.0,0,0.0,7,0.1244740532959327,1.3026110667488104
Dell,Dell Latitude,15.6,Unknown,256 GB,Core i7,16 GB,Windows 7,,Integrated,Intel HD Graphics 3000,,3.9,$119.95 ,119.95,0.22580645161290322,False,Core i7,0.30434782608695654,Integrated,0.9,0,0.0,7,0.4586676016830295,99.99999999999999
Dell,Precision 5550,15.6,Unknown,256 GB,Core i5,16 GB,Windows 10,,Dedicated,NVIDIA Quadro T1000,2.6 GHz,,"$1,199.95 ",1199.95,0.22580645161290322,False,Core i5,0.30434782608695654,Unknown,0.8,1,0.0,7,0.4186676016830295,9.124485646136039
Lenovo,Ideapad 3,15.6,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 ,639.99,0.9758064516129032,False,Core i5,0.3913043478260869,Integrated,0.8,0,0.0,0,0.5154067321178122,21.06100477595671
Dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 ,899.99,0.9758064516129032,False,Core i5,0.6521739130434783,Integrated,0.8,0,0.0,7,0.58062412342216,16.871728555701296
Msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,,1.8 GHz,5.0,"$1,599.00 ",1599.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.844155379731662
Msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,"$1,699.00 ",1699.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.205888435662699
Lenovo,Unknown Model,14.0,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 ,589.99,0.9758064516129032,False,Core i7,0.13043478260869565,Integrated,0.9,0,0.0,0,0.49018934081346427,21.7280824407236
Asus,ASUS VivoBook 15,15.6,Slate Grey,512 GB,Intel Core i7,8 GB,Windows 11,"Bezel,Fingerprint",Integrated,,,4.6,$772.20 ,772.2,0.4838709677419355,False,Core i7,0.13043478260869565,Integrated,0.9,0,0.0,6,0.4409957924263675,14.93505534648549
Hp,HP Pavilion,15.6,Unknown,256 GB,Core i5,8 GB,Windows 11,,Integrated,,4.2 GHz,5.0,$849.99 ,849.99,0.22580645161290322,False,Core i5,0.13043478260869565,Integrated,0.8,0,0.0,3,0.3751893408134643,11.543536034024193
Dell,Latitude 3000,11.6,Unknown,128 GB,Celeron,4 GB,Windows 11,Anti-glare Screen,Integrated,,2.8 GHz,,$305.39 ,305.39,0.0967741935483871,False,Celeron,0.043478260869565216,Integrated,0.25,0,0.0,7,0.12054698457223001,10.322947698702093
Dell,Latitude 9000,14.0,Graphite,512 GB,Core i7,32 GB,Windows 10,"Corning Gorilla Glass 6, Anti-reflection, Anti-smudge",Iris Xe Graphics,,,,"$2,418.30 ",2418.3,0.4838709677419355,False,Core i7,0.6521739130434783,Integrated,0.9,0,0.0,7,0.5714305750350631,6.179530583930134
Lenovo,Unknown Model,16.0,Unknown,1 TB,Core i7,16 GB,Windows 11,Anti-glare,Dedicated,NVIDIA GeForce RTX,5 GHz,5.0,"$1,779.49 ",1779.49,1.0,False,Core i7,0.30434782608695654,Unknown,0.9,1,0.0,0,0.5360869565217392,7.878469835868949
Apple,MacBook,12.0,Space Gray,512 GB,Intel Core i3,8 GB,macOS,,Integrated,Intel HD Graphics 5300,,4.0,$779.95 ,779.95,0.4838709677419355,False,Core i3,0.13043478260869565,Integrated,0.7000000000000001,0,0.0,13,0.3609957924263675,12.104241093298256
Lenovo,Unknown Model,15.6,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,$389.99 ,389.99,1.0,False,Pentium,0.3913043478260869,Integrated,0.35000000000000003,0,0.0,0,0.3378260869565217,22.65384368300717
Hp,Unknown Model,14.0,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 ,389.99,0.03225806451612903,False,Celeron,0.30434782608695654,Integrated,0.25,0,0.0,3,0.17931276297335205,12.024303212822135
Hp,Unknown Model,15.6,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 ,459.99,0.9758064516129032,False,Pentium,0.30434782608695654,Integrated,0.35000000000000003,0,0.0,3,0.3136676016830295,17.832961037562576
Lenovo,Lenovo ThinkPad,14.0,Unknown,256 GB,Core i5 Family,8 GB,Windows 10,Fingerprint Reader,Integrated,Intel UHD Graphics 520,,4.6,$419.00 ,419.0,0.22580645161290322,False,Core i5,0.13043478260869565,Integrated,0.8,0,0.0,0,0.3751893408134643,23.417399029976664
Lenovo,Ideapad 3,15.6,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 ,639.99,0.9758064516129032,False,Core i5,0.3913043478260869,Integrated,0.8,0,0.0,0,0.5154067321178122,21.06100477595671
Dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 ,899.99,0.9758064516129032,False,Core i5,0.6521739130434783,Integrated,0.8,0,0.0,7,0.58062412342216,16.871728555701296
Msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,,1.8 GHz,5.0,"$1,599.00 ",1599.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.844155379731662
Msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,"$1,699.00 ",1699.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.205888435662699
Lenovo,Unknown Model,14.0,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 ,589.99,0.9758064516129032,False,Core i7,0.13043478260869565,Integrated,0.9,0,0.0,0,0.49018934081346427,21.7280824407236
Acer,Aspire,15.6,Sliver,256 GB,AMD R Series,8 GB,Windows 10,Backlit Keyboard,Unknown,AMD Radeon Vega 3,,4.4,$449.00 ,449.0,0.22580645161290322,False,R Series,0.13043478260869565,Unknown,0.1,1,0.0,1,0.09518934081346425,5.544267374447234
Lenovo,ThinkPad X1 Yoga Gen 7,14.0,Unknown,512 GB,Core i7,16 GB,Windows 11,Information Not Available,Iris Xe Graphics,Intel Iris Xe Graphics,,,"$2,466.99 ",2466.99,0.4838709677419355,False,Core i7,0.30434782608695654,Integrated,0.9,0,0.0,0,0.48447405329593274,5.135767107315722
Alienware,m15 R3,15.6,Black,512 GB,Core i7,16 GB,Windows 10,Backlit Keyboard,Dedicated,,,3.8,"$1,329.95 ",1329.95,0.4838709677419355,False,Core i7,0.30434782608695654,Unknown,0.9,1,0.0,12,0.48447405329593274,9.526588289843087
Dell,Latitude 5540 Laptop,15.6,Black,1000 GB,Core i7,32 GB,Windows 11,,Integrated,Intel Integrated Graphics,,,"$1,550.64 ",1550.64,0.9758064516129032,False,Core i7,0.6521739130434783,Integrated,0.9,0,0.0,7,0.6206241234221599,10.466942960174293
Lenovo,Unknown Model,15.6,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,$389.99 ,389.99,1.0,False,Pentium,0.3913043478260869,Integrated,0.35000000000000003,0,0.0,0,0.3378260869565217,22.65384368300717
Hp,Unknown Model,14.0,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 ,389.99,0.03225806451612903,False,Celeron,0.30434782608695654,Integrated,0.25,0,0.0,3,0.17931276297335205,12.024303212822135
Hp,Unknown Model,15.6,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 ,459.99,0.9758064516129032,False,Pentium,0.30434782608695654,Integrated,0.35000000000000003,0,0.0,3,0.3136676016830295,17.832961037562576
Lenovo,ThinkPad T470,14.0,Black,256 GB,Core i5 Family,8 GB,Windows 10,Spill-resistant,Integrated,,,5.0,$295.97 ,295.97,0.22580645161290322,False,Core i5,0.13043478260869565,Integrated,0.8,0,0.0,0,0.3751893408134643,33.15163764422145
Hp,ELITEBOOK REVOLVE 810G3,11.6,Silver,128 GB,Core i5,8 GB,Windows 10,,Integrated,Integrated Graphics,,,$229.98 ,229.98,0.0967741935483871,False,Core i5,0.13043478260869565,Integrated,0.8,0,0.0,3,0.3622861150070127,41.19683079190285
Dell,Precision 3470 Laptop,14.0,Black,1000 GB,Core i7,32 GB,Windows 11,,Integrated,Intel Integrated Graphics,,5.0,"$1,507.16 ",1507.16,0.9758064516129032,False,Core i7,0.6521739130434783,Integrated,0.9,0,0.0,7,0.6206241234221599,10.76890338899962
Lenovo,Ideapad 3,15.6,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 ,639.99,0.9758064516129032,False,Core i5,0.3913043478260869,Integrated,0.8,0,0.0,0,0.5154067321178122,21.06100477595671
Dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 ,899.99,0.9758064516129032,False,Core i5,0.6521739130434783,Integrated,0.8,0,0.0,7,0.58062412342216,16.871728555701296
Msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,,1.8 GHz,5.0,"$1,599.00 ",1599.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.844155379731662
Msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,"$1,699.00 ",1699.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.205888435662699
Lenovo,Unknown Model,14.0,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 ,589.99,0.9758064516129032,False,Core i7,0.13043478260869565,Integrated,0.9,0,0.0,0,0.49018934081346427,21.7280824407236
Hp,Unknown Model,15.6,Unknown,,Core i7,16 GB,Windows 10,,Integrated,,,,"$2,499.00 ",2499.0,0.9758064516129032,True,Core i7,0.30434782608695654,Integrated,0.9,0,0.0,3,0.5336676016830295,5.5847890022902105
Lenovo,Unknown Model,15.6,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,$389.99 ,389.99,1.0,False,Pentium,0.3913043478260869,Integrated,0.35000000000000003,0,0.0,0,0.3378260869565217,22.65384368300717
Hp,Unknown Model,14.0,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 ,389.99,0.03225806451612903,False,Celeron,0.30434782608695654,Integrated,0.25,0,0.0,3,0.17931276297335205,12.024303212822135
Hp,Unknown Model,15.6,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 ,459.99,0.9758064516129032,False,Pentium,0.30434782608695654,Integrated,0.35000000000000003,0,0.0,3,0.3136676016830295,17.832961037562576
Dell,Dell Latitude,14.0,Unknown,,8032,16 GB,Windows 10,,Integrated,NVIDIA GeForce MX130,2.6 GHz,5.0,"$1,599.00 ",1599.0,0.4838709677419355,True,Unknown,0.30434782608695654,Integrated,0.0,0,0.0,7,0.1244740532959327,2.0357880273954208
Hp,Spectre x360 15t 9th OLED Pro McAfee,15.6,Poseidon Blue,1 TB,Core i7,16 GB,Windows 10,Stylus Pen,Dedicated,,,4.1,"$2,199.00 ",2199.0,1.0,False,Core i7,0.30434782608695654,Unknown,0.9,1,0.0,3,0.5360869565217392,6.375469890054769
Dell,Dell XPS 13 9305,13.0,Silver,512 GB,Intel Core i7,16 GB,Windows 10,,Integrated,Intel Iris Xe Graphics,,,"$1,047.29 ",1047.29,0.4838709677419355,False,Core i7,0.30434782608695654,Integrated,0.9,0,0.0,7,0.48447405329593274,12.09778198596073
Dell,Precision M3510,15.6,Unknown,1000 GB,Core i7 6700HQ,16 GB,Windows 10,,Dedicated,Intel HD Graphics 530,2.6 GHz,,$949.95 ,949.95,0.9758064516129032,False,Core i7,0.30434782608695654,Unknown,0.9,1,0.0,7,0.5336676016830295,14.691707686429007
Lenovo,Ideapad 3,15.6,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 ,639.99,0.9758064516129032,False,Core i5,0.3913043478260869,Integrated,0.8,0,0.0,0,0.5154067321178122,21.06100477595671
Dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 ,899.99,0.9758064516129032,False,Core i5,0.6521739130434783,Integrated,0.8,0,0.0,7,0.58062412342216,16.871728555701296
Msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,,1.8 GHz,5.0,"$1,599.00 ",1599.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.844155379731662
Msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,"$1,699.00 ",1699.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.205888435662699
Lenovo,Unknown Model,14.0,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 ,589.99,0.9758064516129032,False,Core i7,0.13043478260869565,Integrated,0.9,0,0.0,0,0.49018934081346427,21.7280824407236
Msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,,1.8 GHz,5.0,"$1,599.00 ",1599.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.844155379731662
Msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,"$1,699.00 ",1699.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.205888435662699
Lenovo,Unknown Model,14.0,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 ,589.99,0.9758064516129032,False,Core i7,0.13043478260869565,Integrated,0.9,0,0.0,0,0.49018934081346427,21.7280824407236
Dell,Alienware X14 Laptop,14.0,Lunar Light,1000 GB,Core i7,32 GB,Windows 11,,Dedicated,NVIDIA GeForce RTX 3060,,,"$2,293.99 ",2293.99,0.9758064516129032,False,Core i7,0.6521739130434783,Unknown,0.9,1,0.0,7,0.6206241234221599,7.075209757568546
Acer,Acer Chromebook,14.0,Silver,,Celeron,32 GB,Chrome OS,Anti-glare,Integrated,Intel HD Graphics 400,,3.8,$359.92 ,359.92,0.4838709677419355,True,Celeron,0.6521739130434783,Integrated,0.25,0,0.0,1,0.31143057503506316,22.628588000512227
Msi,WF76 11UI-400,17.3,Black,512 GB,Core i7 Family,16 GB,Windows 10,Fingerprint,Dedicated,,,5.0,"$1,799.00 ",1799.0,0.4838709677419355,False,Core i7,0.30434782608695654,Unknown,0.9,1,0.0,10,0.48447405329593274,7.042738241287832
Dell,XPS 9315 2-in-1,13.0,Platinum Silver,512 GB,Core i5,16 GB,Windows 11,,Integrated,Intel Integrated Graphics,,,"$1,295.53 ",1295.53,0.4838709677419355,False,Core i5,0.30434782608695654,Integrated,0.8,0,0.0,7,0.44447405329593276,8.97224506353211
Dell,Precision 7750,17.3,Silver,1 TB,Core i7,32 GB,Windows 10,Anti-glare,Integrated,,,3.6,"$1,778.99 ",1778.99,1.0,False,Core i7,0.6521739130434783,Integrated,0.9,0,0.0,7,0.6230434782608696,9.15897841093647
Lenovo,Unknown Model,15.6,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,$389.99 ,389.99,1.0,False,Pentium,0.3913043478260869,Integrated,0.35000000000000003,0,0.0,0,0.3378260869565217,22.65384368300717
Hp,Unknown Model,14.0,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 ,389.99,0.03225806451612903,False,Celeron,0.30434782608695654,Integrated,0.25,0,0.0,3,0.17931276297335205,12.024303212822135
Hp,Unknown Model,15.6,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 ,459.99,0.9758064516129032,False,Pentium,0.30434782608695654,Integrated,0.35000000000000003,0,0.0,3,0.3136676016830295,17.832961037562576
Acer,NX.HR4AA.001,14.0,Black,,Celeron,4 GB,Chrome OS,,Integrated,,1.1 GHz,,$173.92 ,173.92,0.4838709677419355,True,Celeron,0.043478260869565216,Integrated,0.25,0,0.0,1,0.15925666199158486,23.946953437338152
Dell,Inspiron 5625 Laptop,16.0,"Gray, Platinum Silver",1000 GB,AMD Ryzen 7,16 GB,Windows 11,,Integrated,AMD Integrated Graphics,,,$913.99 ,913.99,0.9758064516129032,False,Ryzen 7,0.30434782608695654,Integrated,0.8500000000000001,0,0.0,7,0.5136676016830295,14.69748136441723
Msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,,1.8 GHz,5.0,"$1,599.00 ",1599.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.844155379731662
Msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,"$1,699.00 ",1699.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.205888435662699
Lenovo,Unknown Model,14.0,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 ,589.99,0.9758064516129032,False,Core i7,0.13043478260869565,Integrated,0.9,0,0.0,0,0.49018934081346427,21.7280824407236
Dell,Latitude 6330,13.3,Metallic gray,500 GB,Core i5,16 GB,Windows 7,Anti-glare,Unknown,Intel HD Graphics 4000,,3.5,$289.95 ,289.95,0.4717741935483871,False,Core i5,0.30434782608695654,Unknown,0.8,1,0.0,7,0.4432643758765779,39.97991847354424
Asus,VivoBook S15,15.6,Gaia Green,512 GB,Intel Core i5-1135G7,8 GB,Windows 11,"Fingerprint Reader, HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Unknown,Intel Iris Xe Graphics,,3.0,$723.16 ,723.16,0.4838709677419355,False,Core i5,0.13043478260869565,Unknown,0.8,1,0.0,6,0.4009957924263675,14.501322376288838
Dell,Latitude 7000,14.0,Carbon Fiber,512 GB,Core i5,16 GB,Windows 10,Anti-glare Screen,Iris Xe Graphics,,,,"$1,680.46 ",1680.46,0.4838709677419355,False,Core i5,0.30434782608695654,Integrated,0.8,0,0.0,7,0.44447405329593276,6.91704214748209
Msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,,1.8 GHz,5.0,"$1,599.00 ",1599.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.844155379731662
Msi,Stealth GS66 12UGS-025,15.6,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,"$1,699.00 ",1699.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.205888435662699
Lenovo,Unknown Model,14.0,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 ,589.99,0.9758064516129032,False,Core i7,0.13043478260869565,Integrated,0.9,0,0.0,0,0.49018934081346427,21.7280824407236
Dell,G16 7620 Laptop,16.0,Black,1000 GB,Core i7,16 GB,Windows 11,,Integrated,NVIDIA GeForce RTX 3060,,,"$1,689.00 ",1689.0,0.9758064516129032,False,Core i7,0.30434782608695654,Integrated,0.9,0,0.0,7,0.5336676016830295,8.263106996283739
